Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Cash Purchasing Power
"Investments -2286",591849.03,140160.90,31.03,3488.44,.59,.72,.72


View Summary - All Positions
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Total Gain %,Desc,

Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
EPD,37.83,0.26,0.69,11863.7560,26.841,3084.5766,130370.3401,40.9409,448805.8895
VOO,605.67,2.68,0.44,50.9810,515.5809,136.6291,4592.8323,17.4733,30877.6623
VOOG,415.24,1.75,0.42,100.7540,357.9346,176.3195,5773.7510,16.0100,41837.0910
SCHK,31.74,0.13,0.41,100.8800,29.421,13.1144,233.9412,7.8821,3201.9312
JEPQ,55.92,0.33,0.59,54.6530,52.8194,18.0355,169.4558,5.8701,3056.1958
EXE,103.55,-0.34,-0.33,46.8600,97.9558,-15.9324,262.1430,5.7109,4852.3530
MPLX,55.66,-0.24,-0.43,101.9050,52.6628,-24.4572,305.4323,5.6914,5672.0323
JEPI,56.70,0.25,0.44,535.0800,56.1481,133.7700,295.3064,.9829,30339.0360
IEP,7.71,-0.01,-0.13,2392.0000,8.3062,-23.9200,-1426.0984,-7.1777,18442.3200
BRK.B,476.38,-0.97,-0.20,10.0000,518.00,-9.7000,-416.2000,-8.0347,4763.8000
CASH,,,,,,,,,.72,
TOTAL,,,,,451687.41,3488.44,140160.90,31.03,591849.03,



Generated at Apr 6 2026 06:32 PM ET
